,cumsum_supply_usd
2015-07-24,4166625790.8516436
2015-07-25,4224826595.084532
2015-07-26,4245530005.995887
2015-07-27,4251841259.0283995
2015-07-28,4180698239.651165
2015-07-29,4157101664.518528
2015-07-30,4105805320.153757
2015-07-31,4048244139.185602
2015-08-01,4076817474.6825767
2015-08-02,4057807451.6130342
2015-08-03,4121187365.7827015
2015-08-04,4075189968.9913983
2015-08-05,4027134107.6067924
2015-08-06,4045855252.2717314
2015-08-07,3781914700.918188
2015-08-08,3843015019.9231386
2015-08-09,3830487243.4688463
2015-08-10,3930932968.702924
2015-08-11,3868076853.217639
2015-08-12,3828976896.8991504
2015-08-13,3850276224.776932
2015-08-14,3795406449.29807
2015-08-15,3751092138.730346
2015-08-16,3731136414.878865
2015-08-17,3135474663.966403
2015-08-18,3284455994.1733956
2015-08-19,3415404680.578032
2015-08-20,3376388938.444922
2015-08-21,3346990841.351783
2015-08-22,3320460706.0934067
2015-08-23,3053178008.8345227
2015-08-24,3234225003.209546
2015-08-25,3283815399.0895696
2015-08-26,3275453468.015892
2015-08-27,3367056025.6929398
2015-08-28,3351793161.297929
2015-08-29,3334747261.255438
2015-08-30,3352175926.0567274
2015-08-31,3317936511.2055984
2015-09-01,3338829538.4517565
2015-09-02,3308009129.7522516
2015-09-03,3359687691.637582
2015-09-04,3432617045.810246
2015-09-05,3505380437.526303
2015-09-06,3503915483.965179
2015-09-07,3558788074.2133584
2015-09-08,3478893465.775381
2015-09-09,3482846721.583139
2015-09-10,3506178265.829579
2015-09-11,3434689192.1592517
2015-09-12,3359530596.3120985
2015-09-13,3363579935.535676
2015-09-14,3363474754.2970824
2015-09-15,3341167661.2913756
2015-09-16,3402590697.1386228
2015-09-17,3388721614.0070896
