Date,Total Volume
2022-08-10,1984840.3234460908
2022-08-11,1363066.8187058347
2022-08-12,1197416.7922808414
2022-08-13,1204383.3687467044
2022-08-14,1936684.1535237548
2022-08-15,1457531.9190792395
2022-08-16,1785156.9785426706
2022-08-17,1201356.090129746
2022-08-18,2485996.334248838
2022-08-19,1548983.7435806282
2022-08-20,1331519.4644731928
2022-08-21,1693615.081704448
2022-08-22,1661925.808358895
2022-08-23,1437786.0568027948
2022-08-24,1233790.6949904847
2022-08-25,2226334.4356574193
2022-08-26,1348978.2171387048
2022-08-27,1108274.4034053923
2022-08-28,1663955.9626003767
2022-08-29,2021516.3140564563
2022-08-30,1974848.2786347275
2022-08-31,1918418.1806825474
2022-09-01,1841154.7119681842
2022-09-02,1006494.8651167622
2022-09-03,1109360.9483513103
2022-09-04,1305251.4230007974
2022-09-05,2444524.3694832167
2022-09-06,1739006.4766232353
2022-09-07,1655867.6671198874
2022-09-08,2615794.1500640125
